date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
5/1/2019	MSFT	130.6499939	127.6999969	127.8799973	26821700	124.7060008	118.9460004	114.2146669	124.7060008	118.9460004	114.2146669	124.7060008	118.9460004	114.2146669	125.0584971	120.4672409	117.472313	66.78359119	128.2995927	125.8083149	2.49127782	2.974934545	-0.483656726	-2.082701932	711	2
5/1/2019	MSFT	130.6499939	127.6999969	127.8799973	26821700	124.9696673	119.3368337	114.4451113	124.9696673	119.3368337	114.4451113	124.9696673	119.3368337	114.4451113	125.2405294	120.7102821	117.7010533	66.78359119	128.2350396	125.9617728	2.27326672	2.83460098	-0.561334261	-2.082701932	836	2
5/2/2019	MSFT	128	125.5199966	126.2099991	27350200	125.1776672	119.6588337	114.6570002	125.1776672	119.6588337	114.6570002	125.1776672	119.6588337	114.6570002	125.3030758	120.8906007	117.8880631	25.82244871	127.9234949	125.98016	1.943334902	2.656347765	-0.713012863	-1.305910388	333	2
5/6/2019	MSFT	128.5599976	126.1100006	128.1499939	24239800	125.470667	120.0145003	114.8354446	125.470667	120.0145003	114.8354446	125.470667	120.0145003	114.8354446	125.4867479	121.1286136	118.1136	43.76558936	127.9583409	126.1408884	1.817452466	2.488568705	-0.671116239	-0.58184642	846	2
5/6/2019	MSFT	128.5599976	126.1100006	128.1499939	24239800	125.7636668	120.3701669	115.0138891	125.7636668	120.3701669	115.0138891	125.7636668	120.3701669	115.0138891	125.6585702	121.3588228	118.3341801	38.04941082	127.987826	126.289711	1.698114918	2.330477947	-0.63236303	-0.58184642	750	1
5/8/2019	MSFT	126.3700027	124.75	125.5100021	28419000	125.9510002	120.6803336	115.1964446	125.9510002	120.6803336	115.1964446	125.9510002	120.6803336	115.1964446	125.6489852	121.494927	118.4918905	27.92337989	127.6066223	126.2319548	1.374667468	2.139315852	-0.764648384	-0.007962482	370	1
5/9/2019	MSFT	125.7900009	123.5699997	125.5	27235800	126.1380002	120.9683336	115.378889	126.1380002	120.9683336	115.378889	126.1380002	120.9683336	115.378889	125.6393733	121.6262409	118.6459149	28.23646618	127.2825266	126.1777359	1.104790606	1.932410802	-0.827620196	-0.007969195	595	4
5/9/2019	MSFT	125.7900009	123.5699997	125.5	27235800	126.3236669	121.200167	115.5572224	126.3236669	121.200167	115.5572224	126.3236669	121.200167	115.5572224	125.6303814	121.7532494	118.7965541	28.23646618	127.0082917	126.1275333	0.880758415	1.722080325	-0.84132191	-0.007969195	506	1
5/10/2019	MSFT	127.9300003	123.8199997	127.1299973	30915100	126.5636668	121.4518336	115.7916668	126.5636668	121.4518336	115.7916668	126.5636668	121.4518336	115.7916668	125.7271308	121.9295362	118.9797067	38.46150255	127.0270156	126.2017899	0.825225756	1.542709411	-0.717483655	1.298802592	962	1
5/10/2019	MSFT	127.9300003	123.8199997	127.1299973	30915100	126.8253334	121.6951669	116.0610001	126.8253334	121.6951669	116.0610001	126.8253334	121.6951669	116.0610001	125.8176384	122.1000431	119.158834	38.46150255	127.042859	126.270546	0.77231298	1.388630125	-0.616317145	1.298802592	303	1
5/10/2019	MSFT	127.9300003	123.8199997	127.1299973	30915100	127.0566666	121.9515002	116.3183334	127.0566666	121.9515002	116.3183334	127.0566666	121.9515002	116.3183334	125.9023067	122.2649597	119.3340244	33.64744983	127.0562648	126.334209	0.722055814	1.255315263	-0.533259449	1.298802592	633	1
5/10/2019	MSFT	127.9300003	123.8199997	127.1299973	30915100	127.2879997	122.2078335	116.5787778	127.2879997	122.2078335	116.5787778	127.2879997	122.2078335	116.5787778	125.9815125	122.4244691	119.5053644	33.64744983	127.0676083	126.3931563	0.674451985	1.139142607	-0.464690622	1.298802592	160	1
5/10/2019	MSFT	127.9300003	123.8199997	127.1299973	30915100	127.4939997	122.4868334	116.8392222	127.4939997	122.4868334	116.8392222	127.4939997	122.4868334	116.8392222	126.0556083	122.5787487	119.6729388	45.24713873	127.0772066	126.4477371	0.629469476	1.037207981	-0.407738505	1.298802592	174	1
5/13/2019	MSFT	125.5500031	123.0400009	123.3499985	33944900	127.5706662	122.7028334	117.0576666	127.5706662	122.7028334	117.0576666	127.5706662	122.7028334	117.0576666	125.8810528	122.6040356	119.7537533	30.59123645	126.50379	126.218275	0.285514964	0.886869377	-0.601354414	-2.973333486	1302	2
5/13/2019	MSFT	125.5500031	123.0400009	123.3499985	33944900	127.5569995	122.9188334	117.276111	127.5569995	122.9188334	117.276111	127.5569995	122.9188334	117.276111	125.717759	122.6284934	119.8327916	30.59123645	126.0185913	126.0058101	0.012781201	0.712051742	-0.699270541	-2.973333486	1060	2
5/14/2019	MSFT	125.8799973	123.6999969	124.7300034	25266300	127.5333328	123.1558334	117.5098888	127.5333328	123.1558334	117.5098888	127.5333328	123.1558334	117.5098888	125.6540328	122.6973953	119.9404227	37.93104658	125.820347	125.9113059	-0.090958893	0.551449615	-0.642408508	1.118771706	330	1
5/15/2019	MSFT	126.7099991	123.6999969	126.0199966	24722700	127.5669993	123.3625	117.7822221	127.5669993	123.3625	117.7822221	127.5669993	123.3625	117.7822221	125.6776434	122.8063331	120.0740397	49.25018667	125.8510623	125.919357	-0.068294728	0.427500747	-0.495795475	1.034228535	196	5
5/15/2019	MSFT	126.7099991	123.6999969	126.0199966	24722700	127.6006658	123.5691666	118.1365554	127.6006658	123.5691666	118.1365554	127.6006658	123.5691666	118.1365554	125.6997307	122.9116991	120.2047201	40.07455911	125.8770522	125.9268118	-0.049759616	0.332048674	-0.38180829	1.034228535	1422	4
5/15/2019	MSFT	126.7099991	123.6999969	126.0199966	24722700	127.4963326	123.7611665	118.4194443	127.4963326	123.7611665	118.4194443	127.4963326	123.7611665	118.4194443	125.720393	123.0136105	120.3325283	40.07455911	125.8990437	125.9337144	-0.034670744	0.25870479	-0.293375534	1.034228535	857	4
